glassdoor (1)
review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
1.0,26 Aug 2024,too much work pressure,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90418770.htm,Branch manager,"Current employee, more than 5 years",better paypackage ccompared to pvt banks,too much wok ressure. senior asks to do work under pressure,Show more,Jabalpur,,
4.0,15 Aug 2024,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW90113322.htm,Manager,Current employee,"Job security 
Facilities
Location
Ambience","Low pay
Poor ambience
High risk",Show more,Bangalore Rural,,
3.0,14 Jul 2024,Not the best place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89128697.htm,Senior manager,"Current employee, more than 10 years","Job Security,Good Salary and Perks,Avenues to learn","Toxic Work Environment for the last few years,Too much rigid compliance,Bad HR and Staff Accountability policy,No focus on core business",Show more,Bengaluru,,
2.0,5 Aug 2024,Not a healthy work environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89812047.htm,Officer,"Former employee, more than 1 year",,,,"Puri, Orissa","Great staff benefits, job security","work culture, no proper performance management system,"
1.0,6 Aug 2024,Hectic with almost no support from top offices,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89843389.htm,Officer,"Former employee, more than 5 years",Allowances are the only pros for this job,"Heavy work pressure, literally no support or staff for vacant positions in branch, unreachable targets, irresponsible substaff",Show more,Bengaluru,,
3.0,30 Jul 2024,Toxic culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89643185.htm,Officer,"Current employee, more than 5 years","Nothing to write ..
I","Bad management
Toxic work culture
Bad transfer policy
Worst HR department",Show more,New Delhi,,
4.0,18 Jul 2024,"""Dynamic Senior Manager at Canara Bank | 10+ Years of Expertise in Client Servicing, Recovery, and Risk-Based Audits""",https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89272587.htm,"Senior manager, operations",Current employee,"1. Leadership
2. Vast Experience
3. Team management
4. Quick Learner",1. Jack of all trades master of none.,Show more,,,
4.0,20 Jul 2024,Best PSB to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89329097.htm,Manager,"Current employee, more than 5 years",I had been working with canara bank. It is one of the best bank to work with.,Same PAB culture. Work less shout more.,Show more,"Patna, Bihar",,
5.0,28 Jul 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89574260.htm,Dgm - operations,Current employee,,,,,Good place to work with,Public sector bank culture is there
5.0,23 Jul 2024,Overall Good organization,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89412064.htm,Manager,"Current employee, more than 10 years",,,,Noida,Good management and good pay scale,"Nothing , every thing is good here"
4.0,22 Jul 2024,Manageable,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW89376061.htm,Officer,"Former employee, more than 5 years",,,,Bhopal,Job security and opportunity to visit new places,"Transfers ,Workload ,work saturation ,no fixed office timings"
3.0,24 May 2024,Salary is the only satisfaction,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW87604250.htm,Officer,Former employee,"Timely salary, good number of paid leaves, job security, doable sales target.","Ready for uncountable number of transfer and deputation anywhere without any prior intimation, no proper learning in any core area basically you will be Jack of all master of none, poor management support, typical old aged mentality of working culture, nil mentorship, no personality development etc",Show more,Mumbai,,
5.0,7 Jul 2024,Banking,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88919635.htm,Manager,"Current employee, more than 8 years",It is a Job Security,But to face Very stressful,Show more,Bengaluru,,
4.0,8 Jul 2024,Best Place to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88946953.htm,Divisional manager,"Current employee, more than 10 years",,,,Bengaluru,"fast growth, talent recognition and environment",transfers no such things to say
1.0,25 Jun 2024,Unbearably Toxic Work Culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88588378.htm,Assistant manager,"Current employee, more than 1 year","Timely salary
Good pay in the initial years as compared to peers
Perquisites and allowances
Learning opportunities","High stress and pressure
Lack of work life and balance
Random transfers and deputations 
Lots of window dressing
Lack of support from higher offices
Complete ignorance of employee welfare",Show more,Mathura Bangar,,
3.0,19 May 2024,Work Life balance is Missing,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW87426112.htm,Senior manager,"Current employee, more than 8 years","Pay is fixed regardless of the performance, The respect you get from the society is the utlimate. Promotion oppurtunities are abundant.","Poor Work life balance, transferable job, one cannot specialise in anything, if one has to continue in specific job role/profile or work in a specific location better pack your packs and leave.",Show more,Bengaluru,,
5.0,19 Jun 2024,Officer,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88401741.htm,Officer,"Current employee, more than 5 years","Job security , additional perks on loans","No work life balance , late workings",Show more,Pune,,
2.0,19 Jun 2024,Difficult work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88411316.htm,Manager,"Current employee, more than 8 years",,,,Calcutta,Fixed pay. Public sector undertaking .,Lot of work pressure and the culture is also toxic .
1.0,3 Jun 2024,Worst HR management,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW87898301.htm,Assistant manager,"Current employee, more than 10 years",Good salary. Nothing else is good.,Worst H R management. Worst transfer policy. Micro management forcing personal responsible for operations to canvas for ridiculously unsuitable products to customers.,Show more,,,
4.0,18 Jun 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88356997.htm,Officer,Current employee,,,,Chennai,Good place to work and grow,All good good good good
5.0,15 Jun 2024,Good.,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88291186.htm,Law officer,"Former employee, more than 3 years",,,,Chennai,Government Job. Good Work-Life Balance. Stress Free,Boring. Not engaging.a little Parochial outlook.
5.0,14 Jun 2024,Working as,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88263935.htm,Senior manager,"Current employee, more than 5 years",,,,Mumbai,Good facilities provided by Canara Bank,Working hours not defined in bank Jobs
4.0,9 Jun 2024,Canara ba n,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88094379.htm,Assistant manager,"Current employee, more than 5 years",Good work environment for staff members,Less time for family and friends,Show more,Panaji,,
2.0,14 Jun 2024,Officer,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88260819.htm,Officer,"Current employee, less than 1 year",,,,"Patna, Bihar",Security of job is there,Too much pressure is there in job
2.0,11 Jun 2024,Difficult,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88148406.htm,Single window operator a,Former employee,,,,,"Exposure to new environment, new people and work nature","Stress, not good at posting employees"
4.0,8 Jun 2024,The best,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88063464.htm,Assistant manager,"Former employee, more than 5 years",,,,Bengaluru,Best work experience and environment,Pressures targets and daily meetings makes us exhausted
1.0,19 Jun 2024,Canara Bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW88383446.htm,Officer,"Current employee, more than 5 years",Friendly and helpful colleague in workplace,"Excessive pressure 
Unrealistic target 
Review meeting and vc",Show more,Chennai,,
1.0,3 May 2024,Pathetic work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86951135.htm,Senior manager,"Former employee, more than 8 years",CTC for junior positions is good,"Pathetic work culture
No personal time
Salaries are not linked to performance
No support from the senior management in doing the work
No work timings
Forcing staff to come on weekends too
Admin staff talks rudely as if they know everything
Boot licking culture",Show more,,,
4.0,2 May 2024,Nice but typical government systems and growth,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86894927.htm,Officer,"Former employee, more than 3 years",,,,"Nāgpur, Maharashtra","good job security, decent perks","work life balance, pressure, unrealistic targets"
5.0,3 May 2024,cool,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86951160.htm,Personal banker,Former employee,"all good, 
no tension
no cons","slow reaction to customers
all good, not much cons",Show more,,,
4.0,9 Apr 2024,secured job with little work pressure,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86169675.htm,Assistant manager,"Current employee, more than 5 years","good benefits, salary, allowance etc.",sometime work time extends depends upon work load in our branch. limited human resiurce utilized for more work.,Show more,Chennai,,
3.0,8 Apr 2024,Good Bank bad People,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86103994.htm,Manager,"Current employee, more than 8 years","Technology driven, if not better products re at par with leading banks","Work pressure, long work hours, bad Middle Management. Most of people are just there to give unnecessary pressure.",Show more,Bengaluru,,
2.0,25 Apr 2024,Worst,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86694060.htm,Officer,"Current employee, more than 3 years",,,,Mumbai,There is almlst no pros,"Stress, no family life, hard and tough postings. 6 day banking"
4.0,31 Jan 2024,Overall good but huge pressure,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83906149.htm,Senior manager,"Current employee, more than 8 years","Salary and other allowances are good. But there is huge pressure of business. Even management pressurizes so much to sanction loan for the customers having bad credit history, insufficient income etc. Anyhow business must grow, doesn't matter the quality of advance.",Already mentioned above in the pros section.,Show more,"Patna, Bihar",,
4.0,5 Apr 2024,It was good experience working with Canara Bank Securities Ltd,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86026378.htm,Senior associate,Current employee,,,,,"Canteen facility available , station and bus stop are near","Less salary , office infrastructure is not good"
4.0,8 Mar 2024,In that place I'm not able to grow and work on my potential so I quit that job on basis of my career requirements,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85153371.htm,Human resources manager,Former temporary employee,,,,,In canara bank environment of work and coordination is such good that my communication skills are now improved,Less career growth and no appreciation for employees
3.0,20 Apr 2024,Gh,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86504359.htm,Manager,Current employee,,,,Bengaluru,Good salary and perks etc,Not defined working hours. Etc
3.0,20 Mar 2024,Think before u join here,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85529273.htm,Account manager,"Current employee, more than 8 years",It's a PSU AND DECENT SALARY,"Job security is now becoming an issue.. Chargesheet, suspensions etc..",Show more,New Delhi,,
4.0,14 Apr 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW86292525.htm,Intern,Former intern,,,,Bengaluru,Growth is possible with salary hike.,Nothing as such only good.
4.0,15 Dec 2023,Good experience but...,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82642624.htm,Officer,Current employee,"It's Bharat's 3rd largest bank and is expected to remain so in the coming years.
Yearly PLI distribution to all employees incase of profit 
Most perquisites and allowances are similar to other PSB/PSU
Branches all across Bharat even the remotest area.
Chance to serve public and scope of personal satisfaction.","No adherence to working hours and expected to work on off days too.
There is no clear demarcation of work area. It's on paper only.
Too much interference of employees union.
Frequent transfers at the whim of management without any recourse. Transfer policy is stringent and punishable incase of non reporting even if employee has a genuine reasons.",Show more,,,
5.0,14 Mar 2024,Satisfied in this job,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85354529.htm,Executive assistant,"Current employee, less than 1 year",Good management good response s to bank customer,Increase Inter state employees it is difficult to Village customer,Show more,Hole Narsipur,,
3.0,27 Feb 2024,There are growth oppurtunities for sure but it's a hectic place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84780186.htm,Asst manager,"Former employee, more than 5 years",Cant think of anything spectacular,"Too much pressure
Work disparity",Show more,Hyderābād,,
3.0,22 Mar 2024,Oracle database administrator,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85594536.htm,Senior oracle-dba,Current employee,,,,Bengaluru,Good place to learn and improve your knowledge base.,Policy for IT staff and low shift allowance
4.0,22 Mar 2024,Nice perks,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85603895.htm,Assistant manager,"Current employee, more than 8 years",,,,Dehradun,"Job security, Good salary at lower level.","Frequent transfer, Less salary at high level."
4.0,19 Mar 2024,Great Job l,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85470452.htm,Manager,"Current employee, more than 5 years",,,,Bangalore Rural,Good perks and loans to staff,Toxic management decisions and staff actions
5.0,16 Mar 2024,12345,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85395081.htm,Banker,Current employee,,,,,Good work culture and work ethic,No cons so far as fast I have observed
4.0,15 Mar 2024,Best PSU Bank in India,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85366224.htm,Manager - risk management,Current employee,,,,Bengaluru,Best HR policies in PSU,Workload in offices presently due to competition
5.0,14 Mar 2024,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85352422.htm,Manager,Current employee,,,,Mumbai,Very Good institution to work with,No such thing here. Good
4.0,18 Feb 2024,Appraisal and Sanction of Retail Credit Proposals,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84491721.htm,Retail credit manager,"Current employee, more than 10 years","Nationalized Bank, with PAN India presence.",Sudden change or transfer between different sections under separate verticals.,Show more,Calcutta,,
3.0,12 Mar 2024,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85244944.htm,Assistant manager,"Former employee, more than 1 year",,,,Belgaum,Salary is pretty much good,Work pressure is very high
4.0,5 Mar 2024,Overall good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85043493.htm,Officer,"Former employee, more than 3 years",,,,New Delhi,"Good salary, work exposure, team members, competitive environment.","Lack of training, long working hours"
3.0,24 Feb 2024,PSU BUT NOT A PSU,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84713414.htm,Senior manager,"Current employee, more than 8 years",,,,Mumbai,"Job Security, Pay and Perquisites",Work culture is not that good. The top management is never satisfied with performance
4.0,9 Mar 2024,Management,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85162281.htm,"Sr. manager, operations","Former employee, more than 10 years",,,,Karnāl,Good Management to work with. Nationalised Bank,Work pressure. No personal life
3.0,24 Oct 2023,Overall Public bank with Private Culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW81239107.htm,Probation officer,"Current employee, more than 1 year",Good pay Lots of perks Housing allowance Petrol allowance Govt job,Too much pressure Expecting everything from single person like to do office work(CASA officer ) to sale all products ( Marketing Officers) to give loans (loan Officer) to recover npa (field Officer) and other things. How can a single person do all the work.,Show more,Calcutta,,
3.0,27 Feb 2024,Manager in PSU bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84787642.htm,Manager,"Current employee, more than 8 years",,,,Rānchī,Started with no experience in banking,Salary hike is negligible as per our experience
4.0,6 Mar 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85045988.htm,Manager,"Former employee, more than 5 years","Job security
Good for junior level post","Long working hours
Target pressure",Show more,Bengaluru,,
5.0,1 Mar 2024,excellent,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84900822.htm,Divisional manager,Former employee,,,,,very encouraging experience at canara bank,better hr policies may be required
5.0,28 Feb 2024,Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84852104.htm,Manager,"Former employee, more than 5 years",,,,New Delhi,Supporting Teammate and great learning environment,Too much Bureaucracy and rigidness of seniors
4.0,21 Feb 2024,Good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84598613.htm,Senior manager,"Current employee, more than 10 years",Variety to learn various avenues,Work load is high but good for work,Show more,Madurai,,
1.0,21 Mar 2024,not a place to work for years,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW85556096.htm,Officer,"Former employee, more than 1 year",salary is ok and perks are good,"no work life balance.
frequent transfer policy ie in every 1 year.",Show more,New Delhi,,
4.0,16 Feb 2024,Overall Good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84445318.htm,Manager,Current employee,1. Diversity in learning at an early age.,"1. Long working hours.
2. Frequent Transfers.",Show more,,,
4.0,17 Feb 2024,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84471756.htm,Accounting clerk,Current employee,,,,,"banking industry is a good job, no delayed salary, benefits are good","no social life, family life"
5.0,19 Feb 2024,Nicee,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84505391.htm,Swo,Current employee,,,,,Nice experience it's good job,Nil to mention it's all fine
4.0,17 Jan 2024,Is she a manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83460481.htm,Project manager,"Current employee, more than 3 years","All the employees are really good 
Entire working atmosphere is really good",They don't have proper atm they don't close the atm door no privacy for atm withdrawal,Show more,Madhāpur,,
3.0,6 Feb 2024,No work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84106477.htm,Officer,"Current employee, more than 5 years",,,,Agartala,Good salary with good perks,No work life balance with constant scrutiny on staff
4.0,25 Jan 2024,Good psb to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83719749.htm,Officer,"Current employee, more than 1 year",,,,Chennai,Reputed psb and having good profits for the last 5 years,Sometimes you need to work late nights which results in no work life balance
3.0,15 Oct 2023,Bad Work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW80962261.htm,Assistant manager,"Current employee, more than 8 years",Customer centric bank. Branches in every corner of the country.,Work culture is becoming worse day by day. Doesn't support staff. Leaves are just on papers. Target and campaigns in each week and sometimes each day priority changes. Follow up and compliances are more than work. Too much pressure from top management. Does treat staff good at review meetings.,Show more,Mangalore,,
5.0,15 Jan 2024,Canara bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83389961.htm,Officer,"Current employee, more than 8 years",Good to work with canara bank,Work stress and timing makes us tired. But ok,Show more,Bengaluru,,
2.0,4 Feb 2024,Canara Bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84035305.htm,Officer,"Former employee, more than 8 years",,,,Coonoor,Public sector jobs secured job,Transfer harrasment bullying negative work culture
4.0,24 Jan 2024,Leading PSB,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83702519.htm,Business analyst,Current employee,Great asset quality which helps the bank,Very much staff shortage in india,Show more,,,
3.0,25 Jan 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83748873.htm,Senior manager,"Current employee, more than 10 years",It is a Performing Bank,Missing a work life balance,Show more,Bengaluru,,
4.0,11 Jan 2024,Looking for better opportunities,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83284724.htm,Assistant manager,Current employee,To explore the life and looking for better prospects,Salary a concern working in india,Show more,,,
4.0,9 Jan 2024,It is a decent place to work in,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83176917.htm,Manager,"Former employee, more than 5 years",,,,"Puttūr, Andhra Pradesh","Decent Salary and perks, respect in the community.","Sales targets, target pressure from management, transfers every 3 years"
5.0,18 Jan 2024,Fhjmmv,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83493291.htm,Manager,Current employee,,,,,"Overall, a good experience, nothing to complain,",None of the above matters
4.0,6 Jan 2024,Good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83102758.htm,Branch manager,"Current employee, more than 10 years","Social security, Paid Leaves, Increment every year.","Work pressure, Target oriented, long office hours.",Show more,Calcutta,,
5.0,12 Jan 2024,Good bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83307935.htm,Chief manager ii,"Current employee, more than 10 years",Good Pay & a Secured job,"Transferable job
Long working hours 
Unnecessary pressure",Show more,Hyderābād,,
5.0,13 Jan 2024,Psu bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83329356.htm,Officer,"Current employee, more than 10 years",,,,Ghaziabad,"Good work ethics, comfortable job.",Work load is too much.
5.0,6 Jan 2024,Opportunity to grown to higher level,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW83099457.htm,Divisional manager,"Current employee, more than 10 years",,,,Bengaluru,Opportunity to grown to higher level,Frequent transfer and work life balance
1.0,12 Feb 2024,Canara Bank,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW84293008.htm,Senior manager,Current employee,,,,,"Salary,job security,no more things to say","Work life balance,work pressure,illogical business target fixing"
2.0,24 Nov 2023,No Work Life Balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82073174.htm,Officer,Current employee,Nothing I guess. I wouldn’t recommend working here,"No work life balance
Forced to work on holidays
Too much pressure, due to this fearful to take promotion",Show more,,,
5.0,24 Dec 2023,Work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82823652.htm,Manager finance,Current employee,Good work culture and learning experience,Pressure is high alike other PSB,Show more,Bangalore Rural,,
5.0,17 Dec 2023,Wast experience in banking industry,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82659316.htm,Branch manager,Current employee,,,,,Better and Fast carrier growth,Tremendous Work pressure. Unnecessary pressure by senior management. Less recognition for performance
3.0,8 Dec 2023,Banking job is not easy anymore,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82437372.htm,Credit manager,"Current employee, more than 8 years","Job security, Govt Job, good salary","U will be pressurized for targets, oral communications etc
Minimum work life balance",Show more,New Delhi,,
3.0,13 Dec 2023,The work culture is getting worse,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82555202.htm,Senior manager,"Current employee, more than 10 years","Job security,
 PSU Bank
Salary","High work pressure
Unreasonable business targets
Rude and negative behavior of th superior",Show more,"Farīdābād, Haryana",,
5.0,13 Dec 2023,A place for competitors,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82566232.htm,Senior manager,"Current employee, more than 8 years","MD & CEO works for us. 
Good transfer policy",Worst in reading between the lines,Show more,Hyderābād,,
4.0,18 Dec 2023,Good to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82676284.htm,Assistant manager,"Former employee, more than 8 years",,,,New Delhi,It has a good environment to work.,It is an underpaid job
4.0,7 Dec 2023,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Canara-Bank-RVW82403145.htm,Officer,Former employee,"PSU Bank
ProMotion opportunities
Benefits","No work life balance
Culture to be improved",Show more,Hyderābād,,
