"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_responseLogo__9tv_M src","review-details_employerName__MLS_I","review-details_employerDate__XHTEv","review-details_isCollapsed__Bsg_9 3","expand-button_ExpandButton__FlBlZ 2"
"4.0","26 Aug 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90418554.htm","Vice president","Current employee, more than 3 years","Good place to work if you are starting off","Heirarichal in nature about decision making","Noida","","","","","","","",""
"4.0","27 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90452336.htm","Sr manager - sales","Current employee, more than 8 years","","","Pune","salary on time
good management 
learning environment 
job security","growth is less compared to industry","Show more","","","","",""
"4.0","21 Aug 2024","Work life balance is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90308024.htm","Senior software engineer in test","Current employee, more than 1 year","","","Noida","New tech to learn
work life balance is good","not good Recognization for your tasks
some time to much work that hard to balance work and life","Show more","","","","",""
"5.0","24 Aug 2024","very good colleagues","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90375667.htm","Software engineer","Current employee, more than 3 years","very good teck stack , amazing team and colleagues , good learning curve","leaves are just 21 in a year","Noida","","","","","","","",""
"4.0","27 Aug 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90447511.htm","Assistant manager","Current employee, more than 1 year","Good working environment and pay.","Need better Company infrastructure or office space","Bengaluru","","","","","","","",""
"4.0","22 Aug 2024","Great company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90311029.htm","Product manager","Current employee, more than 1 year","Amazing treatment and learning is provided here. Msny peers feom whom you can learn a lot.","Not much that i can think of","Noida","","","","","","","",""
"3.0","30 Jul 2024","Good company but stay away from the Kolkata office","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89615529.htm","Business manager","Former employee, more than 5 years","","","Calcutta","Company as a whole is good with a good learning curve.","Kolkata office management are the worst. No promotion or advancement after 3 years. They will treat you like their personal secretary. A lot of politics at play. In the key accounts team, they will make you deliver invoices and collect cheque like an errand boy. Even when you are on sick leave they will make you work.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"2.0","6 Aug 2024","iimjobs business unit is pathetic","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89821560.htm","Lead engineer","Current employee, more than 3 years","","","New Delhi","overall good for starters
- management & senior engineering managers and AVPs are pathetic in terms of management skills and knowledge 
- conversation wise everyone is steve jobs but action and knowledge wise everyone is puneet superstar.","- location
- politics
- salary
- work on weekends
- workload is to salary is unjustified","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"1.0","7 Aug 2024","No Growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89864351.htm","Manager corporate sales","Current employee, more than 1 year","","","Noida","No pros of note whatsoever at InfoEdge. The organization is built on the backs of exploitation of thousands of under-appreciated sheep type employees","As a high performer you can expect-
Internal politics
Management aggression
Low respect
Low pay
No appraisal policy
No growth in role

For past 2 years the management is reducing and diluting all employee benefits to make tenured employees leave the organization. At this point the organization's best employees have left the company already and only the mediocre ones remain who are not getting any alternate job offers.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"2.0","19 Aug 2024","Boring, no work culture. It's a government job.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90224813.htm","Deputy manager","Current employee, less than 1 year","","","New Delhi","No skill development in terms of knowledge","You will not grow in this organisation","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"3.0","20 Aug 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90275521.htm","Executive","Former employee","","","Noida","Very high energy environment in the company","Very toxic and bad work culture","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"3.0","12 Aug 2024","Good Incentives but Work life Balance is a difficulty","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90006251.htm","Assistant manager","Former employee, more than 3 years","","","Noida","Culture is great. 
Seniors are very supportive till the time nos are achieved.","Target based so a constant pressure.
No Work Life Balance","Show more","","","","",""
"4.0","20 Aug 2024","review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90242572.htm","Account manager","Current employee, more than 1 year","all are good in work","no much perks and benefits","Chennai","","","","","","","",""
"2.0","19 Jun 2024","Poor work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88416636.htm","Inside sales executive","Former employee, less than 1 year","","","Noida","If you just want a brand name or you really want to gain some experience, then only go for it. Job security is there.","No work ethics. You have to work on weekends, festivals, Independence Day, and every day. You will be only judged on your completion of the target. So much of team politics are there. You will only learn how to make fools to the customers. Sad part is if you are in tech, product, Hr or other department, you will be treated good but if you are in sales unfortunately, so are a slave only.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"4.0","17 Aug 2024","Not good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90169760.htm","Project manager","Current employee, less than 1 year","Good environment good seniors helpfuland good incentive","Leaves are very less don't give calendar holidays","Noida","","","","","","","",""
"2.0","18 Aug 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90202226.htm","Designer","Former employee, more than 3 years","","","Noida","Hires freshers and pays good","Very bad work culture
Toxic environment 
Unnecessarily competitive","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"5.0","16 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90141614.htm","Senior recruiter","Former employee","Good culture and shuttle available for easy commute","None that I know, great company","Noida","","","","","","","",""
"5.0","14 Aug 2024","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90076538.htm","Data science intern","Former intern","Lots of learning with great minds","None I can think of","Noida","","","","","","","",""
"3.0","10 Aug 2024","As fresher good place to start","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89964001.htm","Associate senior executive","Former employee, more than 1 year","","","Noida","Training and nesting was good 
Support from seniors and manager","No work life balance 
No fixed week off","Show more","","","","",""
"4.0","12 Aug 2024","GPTW","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90005352.htm","Sales manager","Current employee, more than 10 years","Culture , Work Life Balance & Products","Lesser Compensation WRT Industry Standard","","","","","","","","",""
"4.0","8 Aug 2024","It is great working there","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89928593.htm","Client service intern","Current intern","Culture was very good and supportive.","The area of Cafeteria is not that big and congusted.","Noida","","","","","","","",""
"5.0","10 Aug 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89972013.htm","Internship","Former intern, less than 1 year","","","Noida","Great people
Brilliant environment
Hybrid option
Empowerment
Nice infrastructure","None that I know of","Show more","","","","",""
"5.0","7 Aug 2024","Nice company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89890644.htm","Associate","Former employee, more than 5 years","","","Noida","- Good Tech Stack
- Stable Products","- Nothing as such during my service period","Show more","","","","",""
"3.0","1 Aug 2024","Toxic culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89695259.htm","Sse- development","Current employee, more than 1 year","","","Noida","Salary on time and time flexibility.","1. Toxic work culture 
2. Micro management 
3. Bad work life balance.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"5.0","1 Aug 2024","Great Company to start with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89687022.htm","Sde-intern","Current intern","Work Culture, Supportive team, Does not feel like new","No cons to tell .","Noida","","","","","","","",""
"5.0","2 Aug 2024","Good exposure, streamlined culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89749211.htm","Sr manager human resources","Former employee, more than 3 years","Learning, perks, transparency, brand, job stability","A bit slow moving set-up","Noida","","","","","","","",""
"4.0","3 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89751913.htm","Sde-intern","Former intern","Good Colleagues and very friendly","No cons whatsoever at all.","","","","","","","","",""
"4.0","30 Jul 2024","Decent firm to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89616588.htm","Business manager","Current employee, more than 3 years","Decent firm to work with.","As of now, nothing as such!","Bengaluru","","","","","","","",""
"3.0","30 Jul 2024","Nice place to start your career","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89612689.htm","Senior executive","Current employee, less than 1 year","No office politics, good working culture","Slow career progress, government company culture","Noida","","","","","","","",""
"4.0","21 Jul 2024","The company is overall good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89348318.htm","Senior executive","Current employee","There is no such hierarchy and everyone is helpful.","They are more client friendly rather than employee friendly and there is very minimal work life balance.","Noida","","","","","","","",""
"4.0","29 Jul 2024","Good Time","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89581420.htm","Ui\ux designer","Current employee","","","Noida","Good policy
Good Team
Good Balance","Need more growth
Need more inspiration","Show more","","","","",""
"3.0","23 Jul 2024","Its a pretty decent company.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89433603.htm","Web designer","Current employee, more than 3 years","","","Noida","Has a pretty good working environment.","Gives Low Salary package and cuts half off the bonus .","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"4.0","19 Jul 2024","Good company to retire","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89305402.htm","Deputy manager","Current employee, more than 3 years","Overall a good company to work with","Nothing as such overall it is good only except salary which is below current market standards","Noida","","","","","","","",""
"4.0","26 Jul 2024","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89529508.htm","Graphic designer","Current employee, more than 1 year","","","Noida","Salary on time 
Perfect hr policies","Sometimes Saturday Sunday working
No overtime","Show more","","","","",""
"4.0","18 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89287040.htm","Senior executive","Current employee","Great work to place, nice culture","Hectic schedule sometimes but decent in culture","Noida","","","","","","","",""
"4.0","17 Jul 2024","-","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89225286.htm","Senior software engineer","Former employee","","","Noida","- Good work life balance
- less work pressure","- Less incriment
- No other cons","Show more","","","","",""
"4.0","19 Jul 2024","Hhhh","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89319115.htm","Lead engineer","Current employee, more than 3 years","","","Noida","Security 
Friendly people
Latest tech stack","Work life can be improved","Show more","","","","",""
"5.0","14 Jul 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89133370.htm","Deputy manager","Current employee, more than 10 years","Job security and learning is good","Nothing noticed during my work tenure till now","Noida","","","","","","","",""
"4.0","17 Jul 2024","good company to be in","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89226620.htm","Technical lead","Current employee","","","Noida","hybrid work
care for emloyees","culture
strict guidlines on office timings","Show more","","","","",""
"4.0","15 Jul 2024","Info edge overall review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89164578.htm","Software engineer","Former employee","Good salary work life balance","Lack of knowledge of latest technology","Noida","","","","","","","",""
"5.0","11 Jul 2024","Poor pay scale","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89051346.htm","Manager","Current employee, more than 8 years","Work life balance is good","Salary is less... And sick leave is not there","Noida","","","","","","","",""
"4.0","14 Jul 2024","nil","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89134218.htm","Study abroad counselor","Former employee, less than 1 year","Good company culture, good perks.","Fewer clients in the abroad education sector","Noida","","","","","","","",""
"3.0","15 Jul 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89146195.htm","Manager corporate sales","Current employee, more than 1 year","Work life balance is good","Nothing as such in cons","Hyderābād","","","","","","","",""
"5.0","16 Jul 2024","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89215910.htm","Lead engineer","Current employee","","","Noida","-work life balance
-food
-cab","-upper management
-appraisals
-office politics","Show more","","","","",""
"5.0","14 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89126331.htm","Deputy manager sales","Current employee","Good company to work for","Nothing cons to mention in","Chennai","","","","","","","",""
"5.0","7 Jul 2024","great place","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88908421.htm","Executive","Current employee, more than 1 year","nice working enviroment and supportive seniors","no fixed week off for sales team","Noida","","","","","","","",""
"3.0","24 Jun 2024","Good place to start but not to stay","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88551419.htm","Zonal manager","Former employee, more than 8 years","Good place to learn sales nuances and the HR Industry","After a while learning at the job stops, you are confined to online recruitment industry.","Bengaluru","","","","","","","",""
"3.0","6 Jul 2024","General Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88894898.htm","Associate senior executive","Current employee, more than 1 year","","","Noida","Overall work-life balance is good.","Low salary, hike, promotions and","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"4.0","3 Jun 2024","Great company to start with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW87890839.htm","Deputy manager-talent acquisition","Current employee, more than 5 years","","","Noida","Company has everything you need to start with your career. 
Good work life balance
Peace at work
Understandable seniors.","Low Compensation compared to market peers.","Show more","","","","",""
"4.0","3 Jul 2024","Amazing company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88820513.htm","Executive","Current employee","Great work culture, amazing career growth","Working hours flexibility not available","","","","","","","","",""
"5.0","27 Jun 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88642708.htm","Content writer","Current employee, more than 3 years","Amazing environment and people. Great place to work","Cannot think of anything negative about this organisation","Noida","","","","","","","",""
"4.0","1 Jul 2024","Great work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88762087.htm","Deputy manager","Current employee, more than 3 years","Job security, Good work culture.","Not a high paying company.","Mumbai","","","","","","","",""
"5.0","25 Jun 2024","Great Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88573513.htm","Senior manager - corporate sales","Former employee, more than 8 years","Work-life balance, Growth opportunity, Pension, Mediclaim, etc.","Growth opportunity but slow in tier 2 cities","Vapi","","","","","","","",""
"4.0","7 Jun 2024","Vibrant atmosphere","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88048028.htm","Admissions counselor","Former employee, more than 1 year","","","Noida","Very good company to work at. You are rewarded appropriately for your achievements and hard work. Overall work culture is good. Seniors are approachable and are always ready to listen to your ideas.","Salary is less as compared to other companies.","Show more","","","","",""
"3.0","15 Jun 2024","Osm work place but work hard when you are in this company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88285737.htm","Inside sales executive","Current employee, less than 1 year","","","Noida","Job security, pf esi, and other benefits","No salary increment culture is boring","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"4.0","25 Jun 2024","Great place to work and Grow","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88563651.htm","Senior consultant","Former employee, more than 1 year","Work life balance and Great culture","Sr. Management is dominating most things.","Noida","","","","","","","",""
"4.0","26 Jun 2024","Great perks ana Benefits","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88600330.htm","Platform analyst","Current employee, more than 1 year","Day shift shuttle cafe noida","far 5 days general not communicative environment","Noida","","","","","","","",""
"4.0","26 Jun 2024","Great company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88594016.htm","Content writer","Current employee, less than 1 year","","","New Delhi","Strict timings and good environment","Free food and healthy food","Show more","","","","",""
"4.0","26 Jun 2024","Its good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88603978.htm","Senior software engineer","Current employee","It provides good salary compensation","Work pressure is too much depends on team","Noida","","","","","","","",""
"4.0","27 Jun 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88665668.htm","Lead ios engineer","Former employee, more than 1 year","They provide very good Work environment","The campus can be better","New Delhi","","","","","","","",""
"3.0","28 Jun 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88665908.htm","Manager, talent acquisition","Current employee, more than 3 years","","","Noida","Just Job Stability and nothing else","Office politics, poor work life balance","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
